article id,title,no. of authors,year published,type,journal/book title,abstract,keywords
41,"Discrimination, Bias, Fairness, and Trustworthy AI",2,2022,Article,Multidisciplinary Digital Publishing Institute,"['In', 'this', 'study', 'we', 'analyze', 'Discrimination', 'Bias', 'Fairness', 'and', 'Trustworthiness', 'as', 'working', 'variables', 'in', 'the', 'context', 'of', 'the', 'social', 'impact', 'of', 'AI.', 'It', 'has', 'been', 'identified', 'that', 'there', 'exists', 'a', 'set', 'of', 'specialized', 'variables', 'such', 'as', 'security', 'privacy', 'responsibility', 'etc.', 'that', 'are', 'used', 'to', 'operationalize', 'the', 'principles', 'in', 'the', 'Principled', 'AI', 'International', 'Framework.', 'These', 'variables', 'are', 'defined', 'in', 'such', 'a', 'way', 'that', 'they', 'contribute', 'to', 'others', 'of', 'more', 'general', 'scope', 'for', 'example', 'the', 'ones', 'studied', 'in', 'this', 'study', 'in', 'what', 'appears', 'to', 'be', 'a', 'generalization–specialization', 'relationship.', 'Our', 'aim', 'in', 'this', 'study', 'is', 'to', 'comprehend', 'how', 'we', 'can', 'use', 'available', 'notions', 'of', 'bias', 'discrimination', 'fairness', 'and', 'other', 'related', 'variables', 'that', 'will', 'be', 'assured', 'during', 'the', 'software', 'project’s', 'lifecycle', 'security', 'privacy', 'responsibility', 'etc.', 'when', 'developing', 'trustworthy', 'algorithmic', 'decision-making', 'systems', 'ADMS.', 'Bias', 'discrimination', 'and', 'fairness', 'are', 'mainly', 'approached', 'with', 'an', 'operational', 'interest', 'by', 'the', 'Principled', 'AI', 'International', 'Framework', 'so', 'we', 'included', 'sources', 'from', 'outside', 'the', 'framework', 'to', 'complement', 'from', 'a', 'conceptual', 'standpoint', 'their', 'study', 'and', 'their', 'relationship', 'with', 'each', 'other.']","['discrimination', ' bias', ' fairness', ' trustworthy adms', ' principled ai', ' social impact of ai', ' ethics and ai']"
49,Trustworthy Artificial Intelligence for Environmental Sciences,14,2023,Article,American Meteorological Society Journal,"['Many', 'of', 'our', 'generation’s', 'most', 'pressing', 'environmental', 'science', 'problems', 'are', 'wicked', 'problems', 'which', 'means', 'they', 'cannot', 'be', 'cleanly', 'isolated', 'and', 'solved', 'with', 'a', 'single', 'correct', 'answer.', 'The', 'NSF', 'AI', 'Institute', 'for', 'Research', 'on', 'Trustworthy', 'AI', 'in', 'Weather', 'Climate', 'and', 'Coastal', 'Oceanography', 'AI2ES', 'seeks', 'to', 'address', 'such', 'problems', 'by', 'developing', 'synergistic', 'approaches', 'with', 'a', 'team', 'of', 'scientists', 'from', 'three', 'disciplines:', 'environmental', 'science', 'including', 'atmospheric', 'ocean', 'and', 'other', 'physical', 'sciences', 'artificial', 'intelligence', 'AI', 'and', 'social', 'science', 'including', 'risk', 'communication.', 'As', 'part', 'of', 'our', 'work', 'we', 'developed', 'a', 'novel', 'approach', 'to', 'summer', 'school', 'held', 'from', '27', 'to', '30', 'June', '2022.', 'The', 'goal', 'of', 'this', 'summer', 'school', 'was', 'to', 'teach', 'a', 'new', 'generation', 'of', 'environmental', 'scientists', 'how', 'to', 'cross', 'disciplines', 'and', 'develop', 'approaches', 'that', 'integrate', 'all', 'three', 'disciplinary', 'perspectives', 'and', 'approaches', 'in', 'order', 'to', 'solve', 'environmental', 'science', 'problems.', 'In', 'addition', 'to', 'a', 'lecture', 'series', 'that', 'focused', 'on', 'the', 'synthesis', 'of', 'AI', 'environmental', 'science', 'and', 'risk', 'communication', 'this', 'year’s', 'summer', 'school', 'included', 'a', 'unique', 'trust-a-thon', 'component', 'where', 'participants', 'gained', 'hands-on', 'experience', 'applying', 'both', 'risk', 'communication', 'and', 'explainable', 'AI', 'techniques', 'to', 'pretrained', 'machine', 'learning', 'models.', 'We', 'had', '677', 'participants', 'from', '63', 'countries', 'register', 'and', 'attend', 'online.', 'Lecture', 'topics', 'included', 'trust', 'and', 'trustworthiness', 'day', '1', 'explainability', 'and', 'interpretability', 'day', '2', 'data', 'and', 'workflows', 'day', '3', 'and', 'uncertainty', 'quantification', 'day', '4.', 'For', 'the', 'trust-a-thon', 'we', 'developed', 'challenge', 'problems', 'for', 'three', 'different', 'application', 'domains:', '1', 'severe', 'storms', '2', 'tropical', 'cyclones', 'and', '3', 'space', 'weather.', 'Each', 'domain', 'had', 'associated', 'user', 'persona', 'to', 'guide', 'user-centered', 'development.']","['education', '\xa0artificial intelligence', '\xa0machine learning']"
59,Speaking of transparency: Are all Artificial Intelligence (AI) literature reviews in education transparent?,11,2023,Article,Journal of Applied Learning & Teaching,"['Literature', 'reviews', 'are', 'considered', 'a', 'core', 'research', 'approach', 'in', 'developing', 'new', 'theories', 'and', 'identifying', 'trends', 'and', 'gaps', 'in', 'a', 'given', 'research', 'topic.', 'However', 'the', 'transparency', 'level', 'of', 'literature', 'reviews', 'might', 'hinder', 'the', 'quality', 'of', 'the', 'obtained', 'findings', 'thus', 'limiting', 'their', 'implications.', 'As', 'transparency', 'is', 'one', 'of', 'the', 'core', 'elements', 'when', 'implementing', 'Artificial', 'Intelligence', 'AI', 'this', 'study', 'assesses', 'the', 'transparency', 'level', 'of', 'literature', 'reviews', 'on', 'AI', 'in', 'education.', 'Specifically', 'this', 'study', 'used', 'a', 'systematic', 'review', 'to', 'collect', 'and', 'analyze', 'information', 'about', 'reports', 'of', 'methodological', 'decisions', 'and', 'research', 'activities', 'in', '61', 'literature', 'review', 'papers.', 'The', 'obtained', 'findings', 'highlighted', 'that', '51.9%', 'of', 'the', 'conducted', 'reviews', 'on', 'AI', 'in', 'education', 'are', 'descriptive.', 'Additionally', 'the', 'transparency', 'level', 'of', 'the', 'conducted', 'literature', 'reviews', 'was', 'low;', '40%', 'of', 'the', 'reviews', 'were', 'in', 'Q1', 'and', '32%', 'in', 'Q2.', 'Particularly', 'the', 'quality', 'assessment', 'step', 'had', 'the', 'lowest', 'transparency', 'level.', 'The', 'findings', 'of', 'this', 'research', 'can', 'advance', 'the', 'educational', 'technology', 'field', 'by', 'underscoring', 'the', 'methodological', 'gaps', 'when', 'conducting', 'a', 'literature', 'review', 'on', 'AI', 'in', 'education', 'and', 'hence', 'enhance', 'the', 'transparency', 'and', 'trustworthiness', 'of', 'the', 'obtained', 'findings.']","['artificial intelligence', ' education', ' literature review', ' transparency assessment']"
60,A survey on security and privacy of large multimodal deep learning models: Teaching and learning perspective,4,2024,Conference Paper,2024 21st Learning and Technology Conference,"['The', 'proliferation', 'of', 'large', 'language', 'models', 'LLMs', 'epitomized', 'by', 'systems', 'like', 'ChatGPT', 'has', 'catalyzed', 'a', 'paradigm', 'shift', 'in', 'educational', 'technologies', 'fostering', 'a', 'robust', 'human-AI', 'synergy.', 'As', 'the', 'frontier', 'expands', 'multimodal', 'AI', 'models', 'have', 'burgeoned', 'facilitating', 'human', 'interaction', 'through', 'varied', 'channels', 'from', 'text', 'to', 'imagery', 'and', 'audio-visual', 'educational', 'content.', 'This', 'dynamism', 'has', 'not', 'only', 'enriched', 'educational', 'interfaces', 'but', 'also', 'transformed', 'content', 'generation', 'curation', 'and', 'summarization', 'in', 'pedagogy', 'heralding', 'an', 'unparalleled', 'era', 'in', 'education.', 'However', 'the', 'ascent', 'of', 'LLMs', 'and', 'their', 'multimodal', 'counterparts', 'Large', 'Multimodal', 'Models', 'LMMs', 'has', 'not', 'been', 'without', 'challenges.', 'They', 'are', 'increasingly', 'found', 'susceptible', 'to', 'adversarial', 'manipulations', 'potentially', 'undermining', 'the', 'educational', 'processs', 'integrity.', 'This', 'paper', 'delves', 'deep', 'into', 'the', 'security', 'privacy', 'compliance', 'and', 'trustworthiness', 'of', 'LLMs', 'and', 'LMMs', 'offering', 'a', 'comprehensive', 'survey', 'of', 'their', 'vulnerabilities.', 'We', 'elucidate', 'the', 'myriad', 'adversarial', 'tactics', 'targeting', 'LLMs', 'and', 'proffer', 'contemporary', 'mitigation', 'strategies.']","['multimodal model', ' educational content', ' educational technology', ' language model', ' training data', ' supply chain', ' learning environment', ' data protection', ' educational settings', ' educational contexts', ' data privacy', ' individual learning', ' privacy issues', ' information leakage', ' learning platform', ' personal details', ' denial of service', ' educational platform', ' adversarial attacks', ' foundation model', ' security design', ' education database', ' academic integrity', ' inappropriate content', ' unauthorized access', ' environmental education', ' malware', ' reading materials', ' interactive', ' access control']"
78,"Bridging the Gap Between Ethics and Practice: Guidelines for Reliable, Safe, and Trustworthy Human-centered AI Systems",1,2020,Article,ACM Transactions on Interactive Intelligent Systems,"['This', 'article', 'attempts', 'to', 'bridge', 'the', 'gap', 'between', 'widely', 'discussed', 'ethical', 'principles', 'of', 'Human-centered', 'AI', 'HCAI', 'and', 'practical', 'steps', 'for', 'effective', 'governance.', 'Since', 'HCAI', 'systems', 'are', 'developed', 'and', 'implemented', 'in', 'multiple', 'organizational', 'structures', 'I', 'propose', '15', 'recommendations', 'at', 'three', 'levels', 'of', 'governance:', 'team', 'organization', 'and', 'industry.', 'The', 'recommendations', 'are', 'intended', 'to', 'increase', 'the', 'reliability', 'safety', 'and', 'trustworthiness', 'of', 'HCAI', 'systems:', '1', 'reliable', 'systems', 'based', 'on', 'sound', 'software', 'engineering', 'practices', '2', 'safety', 'culture', 'through', 'business', 'management', 'strategies', 'and', '3', 'trustworthy', 'certification', 'by', 'independent', 'oversight.', 'Software', 'engineering', 'practices', 'within', 'teams', 'include', 'audit', 'trails', 'to', 'enable', 'analysis', 'of', 'failures', 'software', 'engineering', 'workflows', 'verification', 'and', 'validation', 'testing', 'bias', 'testing', 'to', 'enhance', 'fairness', 'and', 'explainable', 'user', 'interfaces.', 'The', 'safety', 'culture', 'within', 'organizations', 'comes', 'from', 'management', 'strategies', 'that', 'include', 'leadership', 'commitment', 'to', 'safety', 'hiring', 'and', 'training', 'oriented', 'to', 'safety', 'extensive', 'reporting', 'of', 'failures', 'and', 'near', 'misses', 'internal', 'review', 'boards', 'for', 'problems', 'and', 'future', 'plans', 'and', 'alignment', 'with', 'industry', 'standard', 'practices.', 'The', 'trustworthiness', 'certification', 'comes', 'from', 'industry-wide', 'efforts', 'that', 'include', 'government', 'interventions', 'and', 'regulation', 'accounting', 'firms', 'conducting', 'external', 'audits', 'insurance', 'companies', 'compensating', 'for', 'failures', 'non-governmental', 'and', 'civil', 'society', 'organizations', 'advancing', 'design', 'principles', 'and', 'professional', 'organizations', 'and', 'research', 'institutes', 'developing', 'standards', 'policies', 'and', 'novel', 'ideas.', 'The', 'larger', 'goal', 'of', 'effective', 'governance', 'is', 'to', 'limit', 'the', 'dangers', 'and', 'increase', 'the', 'benefits', 'of', 'HCAI', 'to', 'individuals', 'organizations', 'and', 'society.']","['artificial intelligence', ' human-computer interaction', ' human-centered ai', ' design', ' independent oversight', ' management strategies', ' reliable', ' safe', ' software engineering practices', ' trustworthy']"
83,Building Trust in AI Education: Addressing Transparency and Ensuring,1,2024,Book,Trust and Inclusion in AI-Mediated Education,"['The', 'controversial', 'nature', 'of', 'Artificial', 'Intelligence', 'AI', 'has', 'ignited', 'debates', 'and', 'conversations', 'across', 'domains.', 'In', 'educational', 'settings', 'despite', 'its', 'potential', 'to', 'transform', 'educational', 'institutions', 'and', 'teaching', 'structures', 'and', 'usher', 'in', 'a', 'new', 'era', 'of', 'learning', 'AI', 'has', 'further', 'complicated', 'issues', 'of', 'trustworthiness', 'and', 'transparency.', 'This', 'chapter', 'maps', 'and', 'brings', 'together', 'scholarship', 'on', 'AI', 'pedagogical', 'applications', 'with', 'work', 'that', 'problematizes', 'AI', 'based', 'on', 'trust-', 'and', 'transparency-related', 'considerations', 'and', 'initiatives.', 'Arguing', 'that', 'these', 'terms', 'serve', 'as', 'an', 'entry', 'point', 'to', 'the', 'world', 'of', 'policy', 'I', 'highlight', 'concerns', 'and', 'limitations', 'of', 'AI', 'including', 'data', 'privacy', 'the', 'need', 'for', 'monitoring', 'and', 'governance', 'and', 'algorithmic', 'transparency', 'and', 'bias.', 'Additionally', 'the', 'work', 'adds', 'to', 'a', 'growing', 'body', 'of', 'literature', 'that', 'calls', 'for', 'robust', 'frameworks.', 'As', 'such', 'it', 'aims', 'to', 'evaluate', 'the', 'social', 'impact', 'of', 'human-machine', 'interaction', 'and', 'gain', 'a', 'comprehensive', 'understanding', 'of', 'the', 'decision-making', 'processes', 'that', 'govern', 'them.']",[]
90,Speaking of transparency: Are all Artificial Intelligence (AI) literature reviews in education transparent?,11,2023,Article,Journal of Applied Learning & Teaching,"['Literature', 'reviews', 'are', 'considered', 'a', 'core', 'research', 'approach', 'in', 'developing', 'new', 'theories', 'and', 'identifying', 'trends', 'and', 'gaps', 'in', 'a', 'given', 'research', 'topic.', 'However', 'the', 'transparency', 'level', 'of', 'literature', 'reviews', 'might', 'hinder', 'the', 'quality', 'of', 'the', 'obtained', 'findings', 'thus', 'limiting', 'their', 'implications.', 'As', 'transparency', 'is', 'one', 'of', 'the', 'core', 'elements', 'when', 'implementing', 'Artificial', 'Intelligence', 'AI', 'this', 'study', 'assesses', 'the', 'transparency', 'level', 'of', 'literature', 'reviews', 'on', 'AI', 'in', 'education.', 'Specifically', 'this', 'study', 'used', 'a', 'systematic', 'review', 'to', 'collect', 'and', 'analyze', 'information', 'about', 'reports', 'of', 'methodological', 'decisions', 'and', 'research', 'activities', 'in', '61', 'literature', 'review', 'papers.', 'The', 'obtained', 'findings', 'highlighted', 'that', '51.9%', 'of', 'the', 'conducted', 'reviews', 'on', 'AI', 'in', 'education', 'are', 'descriptive.', 'Additionally', 'the', 'transparency', 'level', 'of', 'the', 'conducted', 'literature', 'reviews', 'was', 'low;', '40%', 'of', 'the', 'reviews', 'were', 'in', 'Q1', 'and', '32%', 'in', 'Q2.', 'Particularly', 'the', 'quality', 'assessment', 'step', 'had', 'the', 'lowest', 'transparency', 'level.', 'The', 'findings', 'of', 'this', 'research', 'can', 'advance', 'the', 'educational', 'technology', 'field', 'by', 'underscoring', 'the', 'methodological', 'gaps', 'when', 'conducting', 'a', 'literature', 'review', 'on', 'AI', 'in', 'education', 'and', 'hence', 'enhance', 'the', 'transparency', 'and', 'trustworthiness', 'of', 'the', 'obtained', 'findings.']","['artificial intelligence', ' education', ' literature review', ' transparency assessment']"
91,The Future of Learning: Building Trust and Transparency in AI Education,3,2024,Article,Journal of Management Practices Humanities and Social Sciences,"['Artificial', 'intelligence', 'has', 'become', 'the', 'mark', 'of', 'the', 'day;', 'no', 'one', 'of', 'the', 'aspects', 'of', 'life', 'is', 'beyond', 'it.', 'Education', 'is', 'not', 'only', 'a', 'field', 'but', 'a', 'way', 'to', 'train', 'and', 'make', 'the', 'generation', 'civilized', 'AI', 'made', 'this', 'scenario', 'easy', 'and', 'advanced;', 'building', 'confidence', 'in', 'AI-enabled', 'education', 'systems', 'becomes', 'a', 'fundamental', 'requirement', 'for', 'its', 'successful', 'application.', 'This', 'research', 'article', 'aims', 'to', 'investigate', 'the', 'connections', 'among', 'trust', 'privacy', 'and', 'surveillance', 'related', 'to', 'AI-facilitated', 'educational', 'contexts', 'drawing', 'on', 'insights', 'from', 'Christina', 'Castelfranchi', 'and', 'Rino', 'Falcones', 'work', 'Trust', 'Theory:', 'A', 'Socio-cognitive', 'and', 'Computational', 'Model.', 'This', 'study', 'examines', 'the', 'multiple', 'aspects', 'of', 'trust', 'building', 'including', 'computational', 'dimensions', 'and', 'socio', 'cognitive', 'dimensions', 'which', 'can', 'be', 'helpful', 'but', 'difficult', 'to', 'investigate', 'the', 'attitudes', 'and', 'actions', 'in', 'an', 'AI-mediated', 'educational', 'environment.', 'This', 'article', 'delivers', 'an', 'elaborate', 'exploration', 'of', 'the', 'drivers', 'affecting', 'trust', 'in', 'AI', 'systems', 'deployed', 'for', 'educational', 'purposes', 'by', 'carefully', 'examining', 'trustworthiness', 'perceived', 'dangers', 'and', 'institutional', 'trust.', 'Additionally', 'thorough', 'examination', 'and', 'inherent', 'privacy', 'would', 'be', 'the', 'foundational', 'aspects', 'of', 'privacy', 'and', 'surveillance', 'issues', 'associated', 'with', 'AI', 'detection', 'protection', 'and', 'surveillance', 'risk', 'mitigation', 'measures.', 'This', 'scholarly', 'discourse', 'supported', 'by', 'empirical', 'evidence', 'illustrative', 'case', 'studies', 'and', 'prescriptive', 'recommendations', 'articulates', 'actionable', 'strategies', 'for', 'building', 'trust', 'and', 'addressing', 'privacy', 'and', 'surveillance', 'concerns', 'in', 'AI-enabled', 'educational', 'landscapes', 'heralding', 'the', 'arrival', 'of', 'ethically', 'sound', 'and', 'trustworthy', 'educational', 'technologies.']",[]
92,Transparency and Trustworthiness in User Intentions to Follow Career Recommendations from a Learning Analytics Tool,4,2023,Article,Journal of Learning Analytics,"['Transparency', 'and', 'trustworthiness', 'are', 'among', 'the', 'key', 'requirements', 'for', 'the', 'ethical', 'use', 'of', 'learning', 'analytics', 'LA', 'and', 'artificial', 'intelligence', 'AI', 'in', 'the', 'context', 'of', 'social', 'inclusion', 'and', 'equity.', 'However', 'research', 'on', 'these', 'issues', 'pertaining', 'to', 'users', 'is', 'lacking', 'leaving', 'it', 'unclear', 'as', 'to', 'how', 'transparent', 'and', 'trustworthy', 'current', 'LA', 'tools', 'are', 'for', 'their', 'users', 'and', 'how', 'perceptions', 'of', 'these', 'variables', 'relate', 'to', 'user', 'behaviour.', 'In', 'this', 'study', 'we', 'investigate', 'user', 'experiences', 'of', 'an', 'LA', 'tool', 'in', 'the', 'context', 'of', 'career', 'guidance', 'which', 'plays', 'a', 'crucial', 'role', 'in', 'supporting', 'nonlinear', 'career', 'pathways', 'for', 'individuals.', 'We', 'review', 'the', 'ethical', 'challenges', 'of', 'big', 'data', 'AI', 'and', 'LA', 'in', 'connection', 'to', 'career', 'guidance', 'and', 'analyze', 'the', 'user', 'experiences', 'N', '=', '106', 'of', 'the', 'LA', 'career', 'guidance', 'tool', 'which', 'recommends', 'study', 'programs', 'and', 'institutions', 'to', 'users.', 'Results', 'indicate', 'that', 'the', 'LA', 'career', 'guidance', 'tool', 'was', 'evaluated', 'as', 'trustworthy', 'but', 'not', 'transparent.', 'Accuracy', 'was', 'found', 'to', 'be', 'a', 'stronger', 'predictor', 'for', 'the', 'intention', 'to', 'follow', 'on', 'the', 'recommendations', 'of', 'the', 'LA', 'guidance', 'tool', 'than', 'was', 'understanding', 'the', 'origins', 'of', 'the', 'recommendation.', 'The', 'users', 'age', 'emerged', 'as', 'an', 'important', 'factor', 'in', 'their', 'assessment', 'of', 'transparency.', 'We', 'discuss', 'the', 'implications', 'of', 'these', 'findings', 'and', 'suggest', 'emphasizing', 'accuracy', 'in', 'the', 'development', 'of', 'LA', 'tools', 'for', 'career', 'guidance.']","['artificial intelligence', ' ai', ' learning analytics', ' career guidance', ' transparency', ' trustworthiness']"
97,"""Something Fast and Cheap"" or ""A Core Element of Building Trust""? - AI Auditing Professionals' Perspectives on Trust in AI",2,2024,Article,Proceedings of the ACM on Human-Computer Interaction,"['Artificial', 'Intelligence', 'AI', 'auditing', 'is', 'a', 'relatively', 'new', 'area', 'of', 'work.', 'Currently', 'there', 'is', 'a', 'lack', 'of', 'uniform', 'standards', 'and', 'regulation.', 'As', 'a', 'result', 'the', 'AI', 'auditing', 'ecosystem', 'is', 'very', 'diverse', 'and', 'AI', 'auditing', 'professionals', 'use', 'a', 'variety', 'of', 'different', 'auditing', 'methods.', 'So', 'far', 'little', 'is', 'known', 'about', 'how', 'AI', 'auditors', 'approach', 'the', 'concept', 'of', 'trust', 'in', 'AI', 'through', 'AI', 'audits', 'in', 'particular', 'regarding', 'the', 'trust', 'of', 'users.', 'This', 'paper', 'reports', 'findings', 'from', 'interviews', 'with', '19', 'AI', 'auditing', 'stakeholders', 'to', 'understand', 'how', 'AI', 'auditing', 'professionals', 'seek', 'to', 'create', 'calibrated', 'trust', 'in', 'AI', 'tools', 'and', 'AI', 'audits.', 'Themes', 'identified', 'included', 'the', 'AI', 'auditing', 'ecosystem', 'participants', 'experiences', 'with', 'AI', 'auditing', 'and', 'trust', 'in', 'AI', 'audits', 'and', 'AI.', 'The', 'paper', 'adds', 'to', 'the', 'existing', 'research', 'on', 'trust', 'in', 'AI', 'and', 'trustworthiness', 'in', 'AI', 'by', 'adding', 'perspectives', 'of', 'key', 'stakeholders', 'regarding', 'trust', 'in', 'AI', 'Audits', 'by', 'users', 'as', 'an', 'essential', 'and', 'currently', 'less', 'explored', 'part', 'of', 'the', 'trust', 'in', 'AI', 'research.', 'This', 'paper', 'shows', 'how', 'information', 'asymmetry', 'in', 'respect', 'to', 'AI', 'audits', 'can', 'decrease', 'the', 'value', 'of', 'audits', 'for', 'users', 'and', 'consequently', 'their', 'trust', 'in', 'AI', 'systems.', 'Study', 'participants', 'suggest', 'key', 'elements', 'for', 'rebuilding', 'trust', 'and', 'suggest', 'recommendations', 'for', 'the', 'AI', 'auditing', 'industry', 'such', 'as', 'monitoring', 'of', 'auditors', 'and', 'effective', 'communication', 'about', 'AI', 'audits.']","['ai auditing', ' ai auditors', ' ai users', ' qualitative field research', ' trust in ai-based systems']"
99,"A Systematic Review on Fostering Appropriate Trust in Human-AI Interaction: Trends, Opportunities and Challenges",5,2024,Article,ACM Journal on Responsible Computing,"['Appropriate', 'trust', 'in', 'Artificial', 'Intelligence', 'AI', 'systems', 'has', 'rapidly', 'become', 'an', 'important', 'area', 'of', 'focus', 'for', 'both', 'researchers', 'and', 'practitioners.', 'Various', 'approaches', 'have', 'been', 'used', 'to', 'achieve', 'it', 'such', 'as', 'confidence', 'scores', 'explanations', 'trustworthiness', 'cues', 'and', 'uncertainty', 'communication.', 'However', 'a', 'comprehensive', 'understanding', 'of', 'the', 'field', 'is', 'lacking', 'due', 'to', 'the', 'diversity', 'of', 'perspectives', 'arising', 'from', 'various', 'backgrounds', 'that', 'influence', 'it', 'and', 'the', 'lack', 'of', 'a', 'single', 'definition', 'for', 'appropriate', 'trust.', 'To', 'investigate', 'this', 'topic', 'this', 'article', 'presents', 'a', 'systematic', 'review', 'to', 'identify', 'current', 'practices', 'in', 'building', 'appropriate', 'trust', 'different', 'ways', 'to', 'measure', 'it', 'types', 'of', 'tasks', 'used', 'and', 'potential', 'challenges', 'associated', 'with', 'it.', 'We', 'also', 'propose', 'a', 'Belief', 'Intentions', 'and', 'Actions', 'mapping', 'to', 'study', 'commonalities', 'and', 'differences', 'in', 'the', 'concepts', 'related', 'to', 'appropriate', 'trust', 'by', 'a', 'describing', 'the', 'existing', 'disagreements', 'on', 'defining', 'appropriate', 'trust', 'and', 'b', 'providing', 'an', 'overview', 'of', 'the', 'concepts', 'and', 'definitions', 'related', 'to', 'appropriate', 'trust', 'in', 'AI', 'from', 'the', 'existing', 'literature.', 'Finally', 'the', 'challenges', 'identified', 'in', 'studying', 'appropriate', 'trust', 'are', 'discussed', 'and', 'observations', 'are', 'summarized', 'as', 'current', 'trends', 'potential', 'gaps', 'and', 'research', 'opportunities', 'for', 'future', 'work.', 'Overall', 'the', 'article', 'provides', 'insights', 'into', 'the', 'complex', 'concept', 'of', 'appropriate', 'trust', 'in', 'human-AI', 'interaction', 'and', 'presents', 'research', 'opportunities', 'to', 'advance', 'our', 'understanding', 'on', 'this', 'topic.']","['appropriate trust', ' systematic review', ' trust calibration', ' warranted trust', ' appropriate reliance', ' justified trust', ' trustworthiness', ' artificial intelligence']"
100,Being Trustworthy is Not Enough: How Untrustworthy Artificial Intelligence (AI) Can Deceive the End-Users and Gain Their Trust,4,2023,Article,Proceedings of the ACM on Human-Computer Interaction,"['Trustworthy', 'Artificial', 'Intelligence', 'AI', 'is', 'characterized', 'among', 'other', 'things', 'by:', '1', 'competence', '2', 'transparency', 'and', '3', 'fairness.', 'However', 'end-users', 'may', 'fail', 'to', 'recognize', 'incompetent', 'AI', 'allowing', 'untrustworthy', 'AI', 'to', 'exaggerate', 'its', 'competence', 'under', 'the', 'guise', 'of', 'transparency', 'to', 'gain', 'unfair', 'advantage', 'over', 'other', 'trustworthy', 'AI.', 'Here', 'we', 'conducted', 'an', 'experiment', 'with', '120', 'participants', 'to', 'test', 'if', 'untrustworthy', 'AI', 'can', 'deceive', 'end-users', 'to', 'gain', 'their', 'trust.', 'Participants', 'interacted', 'with', 'two', 'AI-based', 'chess', 'engines', 'trustworthy', 'competent', 'fair', 'and', 'untrustworthy', 'incompetent', 'unfair', 'that', 'coached', 'participants', 'by', 'suggesting', 'chess', 'moves', 'in', 'three', 'games', 'against', 'another', 'engine', 'opponent.', 'We', 'varied', 'coaches', 'transparency', 'about', 'their', 'competence', 'with', 'the', 'untrustworthy', 'one', 'always', 'exaggerating', 'its', 'competence.', 'We', 'quantified', 'and', 'objectively', 'measured', 'participants', 'trust', 'based', 'on', 'how', 'often', 'participants', 'relied', 'on', 'coaches', 'move', 'recommendations.', 'Participants', 'showed', 'inability', 'to', 'assess', 'AI', 'competence', 'by', 'misplacing', 'their', 'trust', 'with', 'the', 'untrustworthy', 'AI', 'confirming', 'its', 'ability', 'to', 'deceive.', 'Our', 'work', 'calls', 'for', 'design', 'of', 'interactions', 'to', 'help', 'end-users', 'assess', 'AI', 'trustworthiness.']","['xai', ' explainability', ' explainable ai', ' fairness', ' transparency', ' trustworthiness', ' trustworthy ai']"
103,"Trust, trustworthiness and AI governance",3,2024,Article,Scientific Reports,"['An', 'emerging', 'issue', 'in', 'AI', 'alignment', 'is', 'the', 'use', 'of', 'artificial', 'intelligence', 'AI', 'by', 'public', 'authorities', 'and', 'specifically', 'the', 'integration', 'of', 'algorithmic', 'decision-making', 'ADM', 'into', 'core', 'state', 'functions.', 'In', 'this', 'context', 'the', 'alignment', 'of', 'AI', 'with', 'the', 'values', 'related', 'to', 'the', 'notions', 'of', 'trust', 'and', 'trustworthiness', 'constitutes', 'a', 'particularly', 'sensitive', 'problem', 'from', 'a', 'theoretical', 'empirical', 'and', 'normative', 'perspective.', 'In', 'this', 'paper', 'we', 'offer', 'an', 'interdisciplinary', 'overview', 'of', 'the', 'scholarship', 'on', 'trust', 'in', 'sociology', 'political', 'science', 'and', 'computer', 'science', 'anchored', 'in', 'artificial', 'intelligence.', 'On', 'this', 'basis', 'we', 'argue', 'that', 'only', 'a', 'coherent', 'and', 'comprehensive', 'interdisciplinary', 'approach', 'making', 'sense', 'of', 'the', 'different', 'properties', 'attributed', 'to', 'trust', 'and', 'trustworthiness', 'can', 'convey', 'a', 'proper', 'understanding', 'of', 'complex', 'watchful', 'trust', 'dynamics', 'in', 'a', 'socio-technical', 'context.', 'Ensuring', 'the', 'trustworthiness', 'of', 'AI-Governance', 'ultimately', 'requires', 'an', 'understanding', 'of', 'how', 'to', 'combine', 'trust-related', 'values', 'while', 'addressing', 'machines', 'humans', 'and', 'institutions', 'at', 'the', 'same', 'time.', 'We', 'offer', 'a', 'road-map', 'of', 'the', 'steps', 'that', 'could', 'be', 'taken', 'to', 'address', 'the', 'challenges', 'identified.']",[]
